what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347904035875
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347904040218
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347904045109
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1347904046218
executed,command,org.scala-ide.sdt.core,2.0.2.v-2_09-201207120929-81d0972,"org.eclipse.shortcut.scala.run",1347904053500
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347904053593
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347904055671
started,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1347904057281
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1347904059312
activated,editor,org.scala-ide.sdt.core,2.0.2.v-2_09-201207120929-81d0972,"scala.tools.eclipse.ScalaSourceFileEditor",1347904072328
activated,editor,org.scala-ide.sdt.core,2.0.2.v-2_09-201207120929-81d0972,"scala.tools.eclipse.ScalaSourceFileEditor",1347904079281
activated,editor,org.scala-ide.sdt.core,2.0.2.v-2_09-201207120929-81d0972,"scala.tools.eclipse.ScalaSourceFileEditor",1347904095140
activated,editor,org.scala-ide.sdt.core,2.0.2.v-2_09-201207120929-81d0972,"scala.tools.eclipse.ScalaSourceFileEditor",1347904099812
activated,editor,org.scala-ide.sdt.core,2.0.2.v-2_09-201207120929-81d0972,"scala.tools.eclipse.ScalaSourceFileEditor",1347904101625
activated,editor,org.scala-ide.sdt.core,2.0.2.v-2_09-201207120929-81d0972,"scala.tools.eclipse.ScalaSourceFileEditor",1347904106625
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347904134750
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347904156046
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1347904161843
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1347904162984
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1347904167843
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1347904168843
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347904171234
